time,Vin,Vout
0.0061,0.00587,-0.17700000000000005
0.00612,0.00682,-0.20699999999999985
0.00614,0.00766,-0.2370000000000001
0.00616,0.00839,-0.2570000000000001
0.00618,0.009,-0.27700000000000014
0.0062,0.00946,-0.2869999999999999
0.00622,0.00979,-0.29700000000000015
0.00624,0.00996,-0.30699999999999994
0.00626,0.00999,-0.30699999999999994
0.00628,0.00988,-0.29700000000000015
0.00629,0.00961,-0.29700000000000015
0.00631,0.0092,-0.27700000000000014
0.00633,0.00865,-0.2669999999999999
0.00635,0.00797,-0.2370000000000001
0.00637,0.00717,-0.21700000000000008
0.00639,0.00627,-0.18699999999999983
0.00641,0.00526,-0.15700000000000003
0.00643,0.00418,-0.12699999999999978
0.00645,0.00304,-0.08699999999999974
0.00649,0.000635,-0.016999999999999904
0.00653,-0.00181,0.052999999999999936
0.00655,-0.003,0.09299999999999997
0.00657,-0.00414,0.12300000000000022
0.00659,-0.00523,0.15300000000000002
0.00661,-0.00623,0.18300000000000027
0.00663,-0.00714,0.21300000000000008
0.00665,-0.00794,0.2330000000000001
0.00667,-0.00863,0.2530000000000001
0.00669,-0.00918,0.2629999999999999
0.0067,-0.0096,0.27300000000000013
0.00672,-0.00987,0.2829999999999999
0.00674,-0.00999,0.29300000000000015
0.00676,-0.00997,0.2829999999999999
0.00678,-0.0098,0.2829999999999999
0.0068,-0.00948,0.27300000000000013
0.00682,-0.00901,0.2629999999999999
0.00684,-0.00842,0.24299999999999988
0.00686,-0.00769,0.22299999999999986
0.00688,-0.00685,0.20299999999999985
0.0069,-0.00591,0.17300000000000004
0.00692,-0.00488,0.14300000000000024
0.00694,-0.00377,0.11299999999999999
0.00696,-0.00261,0.07299999999999995
0.007,-0.000184,0.0030000000000001137
0.00704,0.00225,-0.06699999999999973
0.00706,0.00343,-0.10699999999999976
0.00708,0.00455,-0.137
0.00709,0.00561,-0.16699999999999982
0.00711,0.00658,-0.19700000000000006
0.00713,0.00745,-0.22699999999999987
0.00715,0.00821,-0.2469999999999999
0.00717,0.00885,-0.2669999999999999
0.00719,0.00935,-0.2869999999999999
0.00721,0.00971,-0.29700000000000015
0.00723,0.00993,-0.30699999999999994
0.00725,0.01,-0.30699999999999994
0.00726,0.00996,-0.30699999999999994
0.00728,0.00978,-0.29700000000000015
0.0073,0.00945,-0.2869999999999999
0.00732,0.00898,-0.27700000000000014
0.00734,0.00837,-0.2570000000000001
0.00736,0.00764,-0.22699999999999987
0.00738,0.0068,-0.20699999999999985
0.0074,0.00585,-0.17700000000000005
0.00742,0.00481,-0.1469999999999998
0.00744,0.0037,-0.10699999999999976
0.00746,0.00253,-0.07699999999999996
0.0075,0.000108,-0.007000000000000117
0.00754,-0.00232,0.07299999999999995
0.00756,-0.0035,0.1030000000000002
0.00758,-0.00462,0.133
0.0076,-0.00567,0.16300000000000026
0.00762,-0.00664,0.19300000000000006
0.00763,-0.0075,0.22299999999999986
0.00765,-0.00825,0.24299999999999988
0.00767,-0.00888,0.2530000000000001
0.00769,-0.00938,0.27300000000000013
0.00771,-0.00973,0.2829999999999999
0.00773,-0.00994,0.2829999999999999
0.00775,-0.01,0.29300000000000015
0.00776,-0.00996,0.2829999999999999
0.00778,-0.00977,0.2829999999999999
0.0078,-0.00944,0.27300000000000013
0.00782,-0.00896,0.2629999999999999
0.00784,-0.00835,0.24299999999999988
0.00786,-0.00761,0.22299999999999986
0.00788,-0.00676,0.19300000000000006
0.0079,-0.00581,0.17300000000000004
0.00792,-0.00477,0.14300000000000024
0.00794,-0.00366,0.1030000000000002
0.00796,-0.00249,0.07299999999999995
0.00802,0.00116,-0.03699999999999992
0.00804,0.00237,-0.06699999999999973
0.00806,0.00354,-0.10699999999999976
0.00808,0.00466,-0.137
0.0081,0.00571,-0.17700000000000005
0.00812,0.00667,-0.19700000000000006
0.00814,0.00753,-0.22699999999999987
0.00816,0.00828,-0.2469999999999999
0.00817,0.0089,-0.2669999999999999
0.00819,0.00939,-0.2869999999999999
0.00821,0.00974,-0.29700000000000015
0.00823,0.00995,-0.30699999999999994
0.00825,0.01,-0.30699999999999994
0.00826,0.00996,-0.30699999999999994
0.00828,0.00977,-0.29700000000000015
0.0083,0.00944,-0.2869999999999999
0.00832,0.00897,-0.27700000000000014
0.00834,0.00836,-0.2570000000000001
0.00836,0.00762,-0.22699999999999987
0.00838,0.00677,-0.20699999999999985
0.0084,0.00582,-0.17700000000000005
0.00842,0.00478,-0.1469999999999998
0.00844,0.00367,-0.10699999999999976
0.00846,0.0025,-0.07699999999999996
0.0085,7.37e-05,0.0030000000000001137
0.00854,-0.00236,0.07299999999999995
0.00856,-0.00353,0.1030000000000002
0.00858,-0.00465,0.133
0.0086,-0.0057,0.16300000000000026
0.00862,-0.00666,0.19300000000000006
0.00864,-0.00752,0.22299999999999986
0.00866,-0.00827,0.24299999999999988
0.00867,-0.0089,0.2629999999999999
0.00869,-0.00939,0.27300000000000013
0.00871,-0.00974,0.2829999999999999
0.00873,-0.00994,0.2829999999999999
0.00875,-0.01,0.29300000000000015
0.00876,-0.00996,0.2829999999999999
0.00878,-0.00977,0.2829999999999999
0.0088,-0.00943,0.27300000000000013
0.00882,-0.00895,0.2629999999999999
0.00884,-0.00834,0.24299999999999988
0.00886,-0.0076,0.22299999999999986
0.00888,-0.00675,0.19300000000000006
0.0089,-0.00579,0.17300000000000004
0.00892,-0.00475,0.14300000000000024
0.00894,-0.00364,0.1030000000000002
0.00896,-0.00247,0.07299999999999995
0.00902,0.00118,-0.03699999999999992
0.00904,0.00239,-0.06699999999999973
0.00906,0.00356,-0.10699999999999976
0.00908,0.00468,-0.137
0.0091,0.00572,-0.17700000000000005
0.00912,0.00669,-0.20699999999999985
0.00914,0.00755,-0.22699999999999987
0.00916,0.00829,-0.2570000000000001
0.00918,0.00891,-0.2669999999999999
0.00919,0.0094,-0.2869999999999999
0.00921,0.00975,-0.29700000000000015
0.00923,0.00995,-0.30699999999999994
0.00925,0.01,-0.30699999999999994
0.00927,0.00995,-0.30699999999999994
0.00929,0.00975,-0.29700000000000015
0.00931,0.0094,-0.2869999999999999
0.00932,0.00891,-0.2669999999999999
0.00934,0.00829,-0.2469999999999999
0.00936,0.00755,-0.22699999999999987
0.00938,0.00669,-0.19700000000000006
0.0094,0.00573,-0.17700000000000005
0.00942,0.00468,-0.137
0.00944,0.00356,-0.10699999999999976
0.00946,0.00239,-0.06699999999999973
0.00952,-0.00126,0.04300000000000015
0.00954,-0.00247,0.07299999999999995
0.00956,-0.00364,0.1030000000000002
0.00958,-0.00475,0.14300000000000024
0.0096,-0.00579,0.17300000000000004
0.00962,-0.00674,0.19300000000000006
0.00964,-0.0076,0.22299999999999986
0.00966,-0.00834,0.24299999999999988
0.00968,-0.00895,0.2629999999999999
0.0097,-0.00943,0.27300000000000013
0.00972,-0.00977,0.2829999999999999
0.00973,-0.00996,0.2829999999999999
0.00975,-0.01,0.29300000000000015
0.00977,-0.0099,0.2829999999999999
0.00979,-0.00966,0.2829999999999999
0.00981,-0.00926,0.27300000000000013
0.00983,-0.00873,0.2530000000000001
0.00985,-0.00807,0.2330000000000001
0.00987,-0.00729,0.21300000000000008
0.00989,-0.0064,0.18300000000000027
0.00991,-0.00541,0.16300000000000026
0.00993,-0.00434,0.12300000000000022
0.00995,-0.0032,0.09299999999999997
0.00997,-0.00202,0.06300000000000017
0.01,0.00164,-0.04700000000000015
0.01,0.00284,-0.08699999999999974
0.0101,0.00399,-0.11699999999999999
0.0101,0.00508,-0.15700000000000003
0.0101,0.0061,-0.18699999999999983
0.0101,0.00702,-0.21700000000000008
0.0101,0.00784,-0.2370000000000001
0.0102,0.00854,-0.2570000000000001
0.0102,0.00911,-0.27700000000000014
0.0102,0.00955,-0.2869999999999999
0.0102,0.00984,-0.29700000000000015
0.0102,0.00998,-0.30699999999999994
0.0103,0.00998,-0.30699999999999994
0.0103,0.00982,-0.29700000000000015
0.0103,0.00952,-0.2869999999999999
0.0103,0.00907,-0.27700000000000014
0.0103,0.00848,-0.2570000000000001
0.0104,0.00777,-0.2370000000000001
0.0104,0.00694,-0.20699999999999985
0.0104,0.00601,-0.17700000000000005
0.0104,0.00499,-0.1469999999999998
0.0104,0.00389,-0.11699999999999999
0.0105,0.00273,-0.07699999999999996
0.0105,0.000313,-0.007000000000000117
0.0105,-0.00213,0.06300000000000017
0.0106,-0.00331,0.1030000000000002
0.0106,-0.00444,0.133
0.0106,-0.0055,0.16300000000000026
0.0106,-0.00648,0.19300000000000006
0.0106,-0.00736,0.21300000000000008
0.0107,-0.00814,0.2330000000000001
0.0107,-0.00879,0.2530000000000001
0.0107,-0.00931,0.27300000000000013
0.0107,-0.00968,0.2829999999999999
0.0107,-0.00992,0.2829999999999999
0.0107,-0.01,0.29300000000000015
0.0108,-0.00997,0.2829999999999999
